"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1004056038289",6,3,3,2,3,3,2,2,3,3,6,2,3,3,3,3,2,3,3,5
"1004057015984",1,1,2,4,6,6,5,3,2,1,1,2,4,6,6,6,5,3,2,1
"1004057042838",6,5,3,1,1,1,2,5,5,5,6,4,3,1,1,2,4,5,6,6
"1004058019259",2,2,1,3,4,6,6,2,2,1,2,2,2,3,5,6,6,5,4,2
"1004058038274",6,6,4,3,2,1,1,2,3,5,6,6,6,2,2,1,1,2,3,6
"1004064051816",6,6,6,4,2,1,1,2,2,4,6,6,6,4,2,1,1,1,2,3
"1004065031068",6,5,4,2,2,1,1,1,1,1,1,2,3,4,5,5,5,6,6,6
"1004068035005",6,6,3,3,1,1,1,2,4,6,6,6,4,2,1,2,2,2,4,5
"1004069058594",6,6,5,6,5,3,1,1,1,1,1,2,3,3,2,4,4,6,5,6
"1004070042134",6,6,6,3,2,2,1,1,2,3,6,6,6,3,2,1,1,1,2,3
"1004072007439",1,5,6,6,6,4,3,2,1,1,2,4,6,6,6,5,3,2,1,1
"1004072020435",4,6,5,5,2,3,1,2,2,2,3,2,2,2,4,2,4,3,6,6
"1004073020019",1,1,3,5,6,6,5,3,2,2,1,2,2,4,6,6,6,3,2,1
"1004076012094",1,1,2,4,6,6,6,4,2,1,1,1,2,3,6,6,6,4,2,1
"1004077064427",2,3,5,6,6,6,3,2,2,2,2,2,2,4,4,3,2,2,2,1
"1004078059974",4,3,3,2,3,2,2,3,3,4,6,6,3,3,3,3,2,2,3,3
"1004083037625",4,2,3,4,4,6,5,5,5,5,5,4,5,5,5,1,1,1,1,2
"1004084041849",2,1,1,1,1,1,1,2,2,4,5,5,6,6,6,6,6,5,4,3
"1004086053334",2,1,1,3,4,6,6,6,4,3,2,1,1,2,3,6,6,5,3,3
"1004088057779",2,3,1,1,2,2,1,2,2,5,3,6,5,6,6,6,6,5,3,2
"1004088103400",5,5,5,2,1,1,1,1,2,3,1,3,4,3,4,5,4,6,6,6
"1004090019141",5,5,5,5,5,5,5,6,6,5,4,2,2,1,1,1,2,2,3,3
"1004090124537",6,6,6,4,2,1,1,1,1,3,5,6,5,4,3,2,1,2,2,4
"1004091048084",4,5,6,5,4,3,2,2,2,3,5,6,6,5,2,2,1,2,2,2
"1004091100546",2,1,2,2,4,5,6,6,4,2,1,2,2,2,3,5,5,6,4,3
"1004110031997",4,6,6,6,4,3,1,1,2,3,4,6,6,5,4,2,1,1,1,3
"1004110114196",6,6,6,3,3,1,1,1,2,3,6,6,5,3,2,1,1,2,2,4
"1004111028661",4,2,2,2,2,3,2,2,2,1,3,5,5,6,6,5,6,6,5,1
